"doc_id";"datetime";"text";"media";"likes";"retweets";"replies";"username";"handle";"user_description";"user_image";"user_followers";"sponsored";"target";"condition";"sequence";"comment"
1;"20/01/2024 09:15";"Just completed a marathon of books that were recommended by a successful friend in the tech industry. All of them were extremely insightful but, I have to admit, that 'Exponential Organizations' stood out. The book unveils the strategies behind companies that achieve rapid growth in today's digital age and it is packed with insights and actionable advice. A must-read for anyone looking to thrive in an era of constant change and eager to stay ahead! #futureorganizations #readingclub";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/1.john_media.avif";46;0;3;"JohnP";"John Parker";"An accountant by day, fashion enthusiast by night. Always trying to learn something new and see things from different angles. ";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/1.john_user.avif";543;0;;"A";1;"same"
2;"20/01/2024 11:21";"Yesterday, I was having lunch with a group of friends at a local restaurant near my place. Then I went to the bathroom and I found this...The worst part was that I tried to flush the toilet and flood the bathroom. NOOOO, it was repulsive!!! #Bathroom";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/2.barbara_media_disgust.jpg";54;18;35;"BarbaraSmith";"Barbara Smith";"Zodiac expert | Yoga professor | Life isn't about waiting for the storm to pass, it's about learning to dance in the rain. ";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/2.barbara_user.avif";713;0;;"A";2;"disgust_barbara"
3;"20/01/2024 15:12";"Research has shown that 75% of mental health problems emerge before the age of 18. Find out how experts are analysing the brain's development from infancy through to adolescence. #mentalhealth #brain";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/3.oxford_media.avif";101;12;3;"UniofOxford";"University of Oxford";"Welcome to our official account. Follow for the latest news, research and updates about life at Oxford.";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/3.oxford_user.jpg";993839;0;;"A";3;"same"
4;"20/01/2024 17:00";"Hong Kong attracts 24 applicants for crypto exchange permits. The city is seeking to foster a regulated hub for digital assets.#technology #crypto";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/4.bloomberg_media.avif";94;14;16;"Bloomberg";"Bloomberg";"Connecting decision makers to a dynamic network of information, people and ideas.";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/4.bloomberg_user.jpg";720393;0;;"A";4;"same"
5;"20/01/2024 17:14";"The AI era. The Angstrom era. The_____era. What's next for the world and for us? Give us your guesses below.";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/5.intel_media.jpg";61;3;40;"Intel";"Intel";"Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/5.intel_user.png";4900846;0;;"A";5;"same"
6;"21/01/2024 09:11";"Just moved into my student residence and encountered a persistent awful smell. I opened a drawer and stumbled upon a moldy, foul-smelling leftover. Seriously questioning the cleanliness standards here #studentlife";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/6.mark_media_disgust.jpg";15;1;10;"MarkTaylor20";"Mark Taylor";"Psychology student exploring the intricate layers of human behavior. Enthusiast of both the mind and the canvas. #Psychology #Art #Humanity";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/6.mark_user.jpg";294;0;;"A";6;"disgust_mark"
7;"21/01/2024 11:32";"Our Q3 results are out: revenues at 79.3 bn SEK, operating income of 2.1 bn SEK. CEO Jim Rowan: «We are committed to transitioning our company to being fully electric and achieving climate neutrality by 2024. We remain focused on that».";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/7.volvo_media.jpg";100;50;83;"Volvo";"Volvo Cars";"Safe and electric cars filled with tech. Founded guardian27 in Gothenburg, Sweden.";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/7.volvo_user.jpg";259245;0;;"A";7;"same"
8;"21/01/2024 12:15";"Discover Lainey Wilson x Wrangler in 'Wildflowers and Wild Horses' Ft. Lucas Teodoro, Michelle Darling, & Anthony Thomas. A tribute to our values & identity! #music #fashionbrand";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/8.wrangler_media.png";87;3;36;"Wrangler";"Wrangler";"Wrangler empowers you to discover your free spirit on the open road. If you look for adventure in your everyday life, this is the group you should be riveted to. ";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/8.wrangler_user.png";29793;0;;"A";8;"same"
9;"21/01/2024 14:41";"UK property sales forecast to rise by 10% as buyers and sellers return. The housing market is on track to reach 1.1m transactions across this year.";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/9.guardian_media.avif";210;6;67;"Guardian";"The Guardian";"The need for independent journalism has never been greater. Become a Guardian supporter.";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/9.guardian_user.png";10910634;0;;"A";9;"same"
10;"21/01/2024 20:12";"Walking among the ancient Roman ruins today feels like stepping back in time. Imagining the lives of those who once walked these streets - humbling reminder of our shared human journey.  #RomanEmpire #Archaeology";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/10.david_media.avif";36;28;14;"DavidRod";"David Rodriguez";"Archaeologist based in Italy | Expert in hieroglyphs |Outdoor enthusiast & Landscape photographer";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/10.david_user.avif";954;0;;"A";10;"same"
11;"20/01/2024 09:15";"Just completed a marathon of books that were recommended by a successful friend in the tech industry. All of them were extremely insightful but, I have to admit, that 'Exponential Organizations' stood out. The book unveils the strategies behind companies that achieve rapid growth in today's digital age and it is packed with insights and actionable advice. A must-read for anyone looking to thrive in an era of constant change and eager to stay ahead! #futureorganizations #readingclub";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/1.john_media.avif";46;0;3;"JohnP";"John Parker";"An accountant by day, fashion enthusiast by night. Always trying to learn something new and see things from different angles. ";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/1.john_user.avif";543;0;;"B";1;"same"
12;"20/01/2024 11:21";"Yesterday, I was having lunch with a group of friends at a local restaurant near my place. Then I went to the bathroom and found it to be well-arranged. It got me thinking about making some changes to my own bathroom at home. #Bathroom";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/2.barbara_media_control.jpg";54;18;35;"BarbaraSmith";"Barbara Smith";"Zodiac expert | Yoga professor | Life isn't about waiting for the storm to pass, it's about learning to dance in the rain. ";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/2.barbara_user.avif";713;0;;"B";2;"control_barbara"
13;"20/01/2024 15:12";"Research has shown that 75% of mental health problems emerge before the age of 18. Find out how experts are analysing the brain's development from infancy through to adolescence. #mentalhealth #brain";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/3.oxford_media.avif";101;12;3;"UniofOxford";"University of Oxford";"Welcome to our official account. Follow for the latest news, research and updates about life at Oxford.";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/3.oxford_user.jpg";993839;0;;"B";3;"same"
14;"20/01/2024 17:00";"Hong Kong attracts 24 applicants for crypto exchange permits. The city is seeking to foster a regulated hub for digital assets.#technology #crypto";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/4.bloomberg_media.avif";94;14;16;"Bloomberg";"Bloomberg";"Connecting decision makers to a dynamic network of information, people and ideas.";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/4.bloomberg_user.jpg";720393;0;;"B";4;"same"
15;"20/01/2024 17:14";"The AI era. The Angstrom era. The_____era. What's next for the world and for us? Give us your guesses below.";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/5.intel_media.jpg";61;3;40;"Intel";"Intel";"Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport";"https://raw.githubusercontent.com/catiaalves/dice_disgust_all/main/5.intel_user.png";4900846;0;;"B";5;"same"
